id,callnumber,mainentry,isbn,title,author,placeofpublication,publisher,year,edition,physicaldesc,series,notesarea,subject,addedentry,price,copies,date,note,source
1,HF5657.4 L278 2018,"Langfield-Smith, K.",9781760420406,Management Accounting Information for Creating and Managing Value,"Kim Langfield-Smith, David Smith, Paul Andon & Ronald Hilton",Sydney :,"McGraw-Hill Education (Australia) Pty Ltd.,",2018,8th ed.,"|a xxiii, 1099 p. :|b ill. ;|c 24 cm.",,Includes text.,Managerial Accounting -- Australia --,"Smith, D., Andon, P., & Hilton, R.",,1,9/7/2021,Corporate Admin,Library Materials
2,KPG1220 .M354 2020,Maimunah Aminuddin,9789670761428,Malaysian Industrial Relations and Employment Law,Maimunah Aminuddin,Kuala Lumpur :,"McGraw-Hill Education (Malaysia) Sdn. Bhd.,",2020,,"|a xvi, 454 p. ;|c 24 cm.",,,,,,1,9/7/2021,Corporate Admin,Library Materials
3,KPG1220 .M223 2020,Maimunah Aminuddin,9789674571511,Employment Law Manual for Practitioners,Maimunah Aminuddin,Ampang :,"The Malaysian Current Law Journal S. B.,",2020,3rd ed.,"|a iv, 736 p. ;|c 26 cm.",,,Labor laws and legislation -- Malaysia --,,,1,9/7/2021,Corporate Admin,Library Materials
4,JA66 .I58 2020,Abdul Rashid Moten,9789670357768,Introduction to Political Science,"Abdul Rashid Moten, Syed Serajul Islam",Puchong :,"Cengage Learning Asia Pte Ltd.,",2020,6th ed.,"|a xv, 464 p. ;|c 26 cm.",,,,Syed Serajul Islam,,1,9/7/2021,Corporate Admin,Library Materials
5,HB615.K96E 2017,"Kuratko, D. F.",9781305576247,"Entrepreneurship: Theory, Process, Practice",Donald F. Kuratko,Boston :,"Cengage Learning,",2017,10th ed.,"|a xxxi, 465 p. :|b col. ill. ;|c 29 cm.",,,Entrepreneurship -- United States. New business enterprises -- United States. Small business -- United States.,,,1,9/7/2021,Corporate Admin,Library Materials
6,HB171.5 .S6 35 2017,"Sloman, J.",9781292187853,Economics,"John Sloman, Dean Garratt & Jon Guest",New York :,"Pearson,",2018,10th ed.,"|a xxv, 863 p. :|b col. ill. ;|c 27 cm.",,,Economics --,"Garratt, G., Guest, J.",,1,9/7/2021,Corporate Admin,Library Materials
7,PL 5065. M634 N8 2018,Zarina Othman,9789674120962,Modul Komunikasi Bahasa Melayu Antarabangsa,"Zarina Othman, Roosfa Hashim & Rusdi Abdullah",Bangi :,"UKM Cetak Sdn. Bhd.,",2018,,|a 284 p. :|b col. ill. ;|c 26 cm. + 1 CD (4 3/4 in.),,,Malay Language -- Conversation and phrase books.,"Roosfa Hashim, Rusdi Abdullah",,1,9/7/2021,Corporate Admin (Kursus Wajib Universiti),Library Materials
8,HD 58.7 .M42 2021,"Mcshane, S. L.",9781260570656,"Organizational behaviour : Emerging Knowledge, Global Reality","Steven L. McShane, Mary Ann Von Glinow",New York :,"McGraw-Hill Education,",2021,,"|a xxiii, 596 p. :|b col. ill. ; |c 28 cm.",,,,"Glinow, M. A. V.",,1,9/7/2021,Corporate Admin,Library Materials
9,QA37.2 .H29 1999,"Harshbarger, R. J.",9781337625340,"Mathematical Applications for the Management, Life and Social Sciences","Ronald J. Harshbarger, James J. Reynolds","Boston, MA :","Cengage Learning,",2019,12th ed.,"|a xv, 901 p. : |b col. ill. ; |c 28 cm.",,,,"Reynolds, J. J.",,1,18/8/2021,Corporate Admin,Library Materials
10,HD 62.5 H673 2021,"Hisrich, R. D.",9781260565621,Entrepreneurship,"Robert D. Hisrich, Michael P. Peters, Dean A. Sheperd",New York :,"McGraw-Hill Education,",2021,11th ed.,"|a xxiii, 581 p. :|b col. ill. ; |c 26 cm.",,,,"Peters, M. P., Sheperd, D. A.",,1,9/7/2021,Corporate Admin,Library Materials
11,,"McConnell, C. R.",9781260570618,Economics,"Campbell R. McConnell, Stanley L. Brue, Sean M. Flynn",New York :,"McGraw-Hill Education,",2021,22nd ed.,"|a xxxi, 857 p. :|b col, ill. ; |c 28 cm.",,Includes index.,"Economics -- ""International student edition."" --Cover.","Brue, S. L., Flynn, S. M.",,1,14/9/2021,Corporate Admin,Library Materials
12,HB171.5 .C315 2020,"Case, K. E.",9781292294698,Principles of Economics,"Karl E. Case, Ray C. Fair, Sharon M. Oster","Harlow, England :","Pearson Education Limited,",2020,"13th ed., global ed.",|a 810 p. : |b col. ill. ; |c 28 cm.,,Includes index.,Economics.,"Fair, R. C., Oster, S. M.",,1,14/9/2021,Corporate Admin,Library Materials
13,HB171.5 .P77 2019,Robert H. F.,9781260092912,Principles of Economics,"Robert H. Frank, Ben S. Bernanke, Kate Antonovics, Ori Heffetz",New York :,"McGraw-Hill Education,",2019,7th ed.,"|a xxxii, 798 p. : |b ill. (some col.) ; |c 28 cm.",,Includes index.,Economics.,"Bernanke, B. S., Antonovics, K., Heffetz, O.",,1,14/9/2021,Corporate Admin,Library Materials
14,HB171 E26 2020,"David, B.",9781526847393,Economics,"David Begg, Gianluigi Vernasca, Stanley Fischer, Rudiger Dornbusch",London :,"McGraw-Hill Education,",2020,12th ed.,"|a xxii, 682 p. : |b ill. (some col.) ; |c 26 cm.",,Includes index.,Economics.,"Vernasca, G., Fischer, S., Dornbusch, R.",,1,14/9/2021,Corporate Admin,Library Materials
15,DS595.5 .M37 2018,Mardiana Nordin,9789834725563,Pengajian Malaysia,"Mardiana Nordin, Hasnah Hussiin","Shah Alam, Selangor :","Oxford Fajar,",2018,6th ed.,"|a viii, 392 p : |b ill., photographs ; |c 27 cm.",,Includes questions and answers. Includes index.,"Malaysia -- Politics and government -- Problems, exercises, etc. Malaysia -- Social conditions -- Problems, exercises, etc. Malaysia -- Economic conditions -- Problems, exercises, etc. Economic history. Politics and government. Social conditions. Malaysia.",Hasnah Hussiin,,1,14/9/2021,Corporate Admin,Library Materials
16,HF5657.4 .D796M 2018,"Colin, D.",9781473748873,Management and Cost Accounting,Colin Drury,Andover :,"Cengage,",2018,10th ed.,"|a xvii, 842 p. : |b ill.; |c 26 cm.",,Includes bibliographical references (pages 716-724) and index.,Managerial accounting. Cost accounting.,,,1,15/9/2021,Corporate Admin,Library Materials
17,HG4011 .Z96 2019,"Zutter, C. J.",9781292261515,Principles of Management Finance,"Chad J. Zutter, Scott B. Smart",London :,"Pearson Education,",2019,"15th ed., global ed.",|a 974 p. : |b col. ill. ; |c 26 cm.,,Includes index. Lawrence J. Gitman appeared as first named author on earlier editions.,"Corporations -- Finance. Business enterprises -- Finance.
Entreprises -- Finances.","Smart, S. B.",,1,15/9/2021,Corporate Admin,Library Materials
18,HD2741 .S65 2021,"Jill, S.",9781119561200,Corporate Governance and Accountability,Jill Solomon,Hoboken :,"Wiley,",2021,5th ed.,"|a xxii, 273 p. : |b ill. ; |c 24 cm.",,Includes bibliographical references and index.,"Corporate governance.
Boards of directors.
Disclosure in accounting.
Corporate governance -- Great Britain.",,,1,15/9/2021,Corporate Admin,Library Materials
19,PN4121.L933 2020,"Stephen, E. L.",9781260548099,The Art of Public Speaking,Stephen E. Lucas,New York :,"McGraw-Hill Education,",2020,"13th ed., International Student Edition.","|a xxiii, 389 p. : |b col., ill. ; |c 26 cm.",,,Public speaking.,,,1,15/9/2021,Corporate Admin,Library Materials
20,HD 62.7 S5943 2018,"Byrd, M. J.",9781260083668,Small Business Management : An Entrepreneur's Guidebook,Mary Jane Byrd,New York :,"McGraw-Hill Education,",2018,8th ed. International Student Edition.,"|a xviii, 475 p. : |b ill. ; |c 25 cm.",,Includes bibliographical references and indexes.,"Small business -- Management.
Small business -- Management -- Case studies.",,,1,15/9/2021,Corporate Admin,Library Materials
21,PE1413 .B28 2018,"Stephen, B.",9781138048744,Academic Writing : A Handbook for International Students,Stephen Bailey,New York :,"Routledge,",2018,5th ed.,"|a xxx, 312 p. : |b ill. ; |c 25 cm.",,"Includes index.
Previous edition: 2015.","English language -- Rhetoric -- Handbooks, manuals, etc
English language -- Textbooks for foreign speakers
Academic writing",,,1,15/9/2021,Corporate Admin,Library Materials
22,JZ1242 .J33 2019,"Jackson, R.",9780198803577,Introducation to International Relations: Theories and Approaches,"Robert Jackson, Georg Sorensen, Jorgen Moller",New York :,"Oxford University Press,",2019,7th ed.,"|a xxiii, 401 p. ; |c 25 cm.",,"Previous edition: 2016.
Includes bibliographical references and index.",International relations.,"Sorensen, G., Moller, J.",,1,17/9/2021,Corporate Admin,Library Materials
23,JA66 .M235 2021,"Magstadt, T. M.",9780357137352,"Understanding Politics : Ideas, Institutions, and Issues",Thomas M. Magstadt,"Boston, MA","Cengage Learning,",2021,13th ed.,"|a xv, 667 p. : |b ill., col. maps ; ; |c 23 cm",,Includes bibliographical references and index.,Political science. Textbooks.,,,1,22/9/2021,Corporate Admin,Library Materials
24,JA 71 Ros 2017,"Roskin, M. G.",9781292156248,Political Science : An Introduction,"Michael G. Roskin, Robert L. Cord, James A. Medeiros, Walter S. Jones",Essex :,"Pearson Education,",2017,"14th ed., global ed.","|a 384 p. : |b ill. (col.), maps (col.) ; |c 24 cm.",,Includes bibliographical references and index.,Political science.,"Cord, R. L., Medeiros, J. A., Jones, W. S.",,1,22/9/2021,Corporate Admin,Library Materials
25,JF1351 .H84 2018,"Hughes, O. E.",9781137560070,Public Management & Administration: An Introduction,Owen E. Hughes,UK :,"Palgrave-Macmillan,",2018,5th ed.,"|a ix, 404 p. ; |c 24 cm.",,Includes bibliographical references and index.,Public administration.,,,1,22/9/2021,Corporate Admin,Library Materials
26,PE1128 .R4423 2017,"Reinders, H.",9781137594051,Studying in English : Strategies for Success in Higher Education,"Hayo Reinders, Marilyn Lewis, Linh Phung",London :,"Palgrave Macmillan Education,",2017,2nd ed.,"|a xi, 252 p. : |b ill. ; |c 23 cm.",,,"English language --
Academic writing -- Study and teaching (Higher) -- Foreign speakers.","Lewis, M., Phung, L.",,1,22/9/2021,Corporate Admin,Library Materials
27,,Mardian Shah Omar,9789834908928,Panduan Perbualan Mudah Bahasa Melayu untuk Pelancong Asing = Easy Malay Conversation Guide for Foreign Tourists,Mardian Shah Omar,Kuala Lumpur :,"Dewan Bahasa dan Pustaka,",2016,,"|a 1 DVD : |b sd., col. |c 3 1/2 in.",,,,,,1,22/9/2021,Corporate Admin,Library Materials
28,HB171.5 .P37 1996,"Parkin, M.",9780134735696,Economics,Michael Parkin,USA :,"Pearson Education,",2018,13th ed.,"|a xxxv, 786 p. : |b col. ill. ; |c 27 cm.",,Includes index.,Economics.,,,1,1/10/2021,Corporate Admin,Library Materials
29,HF5686 . C8H2383 2018,"Hansen, D. R.",9781305970663,Cornerstones of Cost Management,"Don R. Hansen, Maryanne M. Mowen",Boston :,"Cengage Learning, Inc.,",2018,4th ed.,"|a xvii, 1116 p. : |b col. ill. ; | 29 cm.",,Includes bibliographical references and index.,Cost accounting -- Cost control -- Managerial accounting.,"Mowen, M. M.",,1,6/8/2021,Diploma Muamalat,Library Materials
30,TS155 .S7824 2021,"Stevenson, W. J.",9781260238891,Operations Management,William J. Stevenson,"New York, NY :","McGraw Hill,",2021,14th ed.,"|a xxiii, 899 p. : |b col. ill. ; |c 29 cm.",,Includes bibliographical references and index.,LCSH: Product Management.,,,1,5/8/2021,Diploma Muamalat,Library Materials
31,HF5635 .M512 2021,"Williams, J. R.",9781260575583,Financial Accounting,"Jan R. Williams, Mark S. Bettner, Joseph V. Carcello",Boston :,"McGraw Hill,",2021,14th ed.,"|a xxv, 727 p. : |b col. ill. ; |c 29 cm.",,Includes index.,Accounting.,"Bettner, M. S., Carcello, J.V.",,1,6/8/2021,Diploma Muamalat,Library Materials
32,HD31 .R63 2018,"Robbins, S. P.",9781292215839,Management,"Stephen P. Robbins, Mary Coulter","Harlow, England :","Pearson Education Limited,",2018,"14th ed., global ed.",|a 751 p. : |b col. ill. ; |c 28 cm.,,,,"Coulter, M.",,,4/8/2021,Diploma Muamalat,Library Materials
33,HF5718 .B66 2021,"Bovee, C. L.",9781292353142,Business Communication Today,"Courtland L. Bovee, John V. Thill",Upper Saddle River :,"Pearson,",2021,"15th ed., global ed.",|a 704 p. : |b ill. ; |c 28 cm.,,,,"Thill, J. V.",,1,5/8/2021,Diploma Muamalat,Library Materials
34,PB6.218.177/14 2018,"Solomon, M. R.",9781292221083,"Marketing : Real People, Real Choices","Michael R. Solomon, Greg W. Marshall, Elnora W. Stuart",Upper Saddle River :,"Pearson Education Limited,",2018,"9th ed., global ed.",|a 594 p. : |b col. ill. ; |c 28 cm.,,Includes Internet access. Includes bibliographical references and index.,Marketing -- Vocational guidance; Electronic books.,"Marshall, G. W., Stuart, E. W.",,1,5/8/2021,Diploma Muamalat,Library Materials
35,HD31 .R636 2020,"Robbins, S. P.",9781292307329,Fundamentals of Management,"Stephen P. Robbins, Mary Coulter, David A. Decenzo",United Kingdom :,"Pearson Education Limited,",2020,"11th ed., global ed.",|a 551 p. : |b col. ill. ; | c 28 cm.,,Includes bibliographical references and index.,,"Coulter, M., Decenzo, D. A.",,1,6/8/2021,Diploma Muamalat,Library Materials
36,PL1125.E6 G74 2014,"Golden, J. C.",9780615711713,Golden Chinese : Conversational Mandarin for Beginner-Intermediate: A Golden Key for Entry,Janie Chien Golden,California :,"Golden Language Publication,",2014,,"|a ix, 273 p. ;|c 28 cm.",,,,,,1,9/7/2021,Diploma Muamalat,Library Materials
37,HF5686. C8 B464 2018,"Bhimani, A.",9781292232669,Management & Cost Accounting,"Alnoor Bhimani, Charles T. Horngren, Srikant M. Datar, Madhav V. Rajan",New York :,"Pearson,",2018,7th ed.,"|a xxviii, 841 p. :|b ill. ;|c 27 cm.",,Cost accounting -- Managerial accounting.,,"Horngren, C. T., Srikant M. Datar, Madhav V. Rajan",,1,9/7/2021,Diploma Muamalat,Library Materials
38,HG 3368 A6 A136M 2018,Abdul Ghafar Ismail,9789670357584,"Money, Islamic Banks and the Real Economy",Abdul Ghafar Ismail,Selangor :,"Cengage Learning Asia,",2018,2nd ed.,"|a xxv, 586 p. : |b ill. ; |c 26 cm.",,Includes index.,,,,1,3/7/2021,Diploma Muamalat,Library Materials
39,HC445.5 .T356M 2018,"Tey, H. C.",9789834725556,"Malaysian Economy : Unlocking Growth, Sustaining Equity","Tey Hwei Choo, Azfar Hilmi Baharuddin,
Hanani Ahmad Fuad",Shah Alam :,"Oxford Fajar University Press,",2018,1st ed.,"|a xiv, 289 p. :|b charts ; |c 26 cm.",,Includes index.,Economic development -- Malaysia -- Malaysia -- Economic policy -- Malaysia -- Economic conditions -,"Azfar Hilmi Baharuddin, Hanani Ahmad Fuad",,1,3/7/2021,Diploma Muamalat,Library Materials
40,HB172 .P56 2018,"Pindyck, R. S.",9781292213316,Microeconomics,"Robert S. Pindyck, Daniel L. Rubinfield","Harlow, Essex, England :","Pearson Education Limited,",2018,"9th ed., global ed.",|a 781 p. : |b col. ill. ; |c 26 cm.,,,,"Rubinfield, D. L.",,1,5/8/2021,Diploma Muamalat,Library Materials
41,PE1128 .A2 .B76 2016,"Broukal, M.",9781305251663,Weaving It Together 3 : Connecting Reading and Writing,Milada Broukal,"Boston, MA :","Cengage Learning, Inc.,",2010,4th ed.,"|a vii, 233 p. : |b col., ill. ; |c 26 cm.",,Includes vocabulary index.,"English language -- Textbooks for foreign speakers. English language -- Writing. Comprehension -- Problems, exercises, etc.",,,1,5/8/2021,Diploma Muamalat,Library Materials
42,HF5635 .W863 2018,"Sangster, A.",9781292208626,Frank Wood's Business Accounting,Alan Sangster,"Harlow, England :","Pearson,",2018-2019,14th ed.,"|a xxii, 780 p. :|b col. ill. ; |c 25 cm.",,Includes index.,Accounting -- Textbooks. Bookkeeping -- Textbooks.,,,1,5/8/2021,Diploma Muamalat,Library Materials
43,PE1065 .R78 2016,,9780367468163,The Routledge Handbook of English for Academic Purposes,"Ken Hyland (editor), Philip Shaw (editor)","New York, NY :","Routledge,",2016,,"|a xxiii, 645 p. ; |c 26 cm.",Routledge Handbooks in Applied Linguistics,Includes bibliographical references and index.,,"Hyland, K., Shaw, P.",,1,9/8/2021,Diploma Muamalat,Library Materials
44,HF5691 .L38 2019,"Lau, T. K.",9789834729578,Business Mathematics for UiTM,"Lau Too Kya, Phang Yook Ngor, Wee Kok Kiang",Shah Alam :,"Oxford Fajar Sdn. Bhd.,",2019,6th ed.,"|a xi, 323 p. ; |c 25 cm.",,Includes questions and answers.,"Business mathematics -- Problems, exercises, etc --","Phang, Y. N., Wee, K. K.",,1,9/8/2021,Diploma Muamalat,Library Materials
45,HG3368 .A6 E393 2019,Wael Kamal Eid,9781119077817,Mapping the Risks and Risk Management Practices in Islamic Banking,"Wael Kamal Eid, Mehmet Asutay",Singapore :,"John Wiley & Sons Singapore Pte. Ltd.,",2019,1st ed.,"a| xiii, 431 p. ; |c 24 cm.",,Includes bibliographical references and index.,Banks and banking -- Religious aspects -- Islam.,Mehmet Asutay,,1,9/8/2021,Diploma Muamalat,Library Materials
46,BP190.5 .M26 M64 2019,Seyed Mohammad Moghimi,9781787696747,Principles and Fundamentals of Islamic Management,Seyed Mohammad Moghimi,"Bingley, UK :","Emerald Publishing,",2019,1st ed.,"a| xvii, 279 p. : |b ill. ; |c 24 cm.",,Includes bibliographical references (pages 267-272) and index.,Management -- Religious aspects -- Islam.,,,1,9/8/2021,Diploma Muamalat,Library Materials
47,BP173.75 .A4825 2018,Raja M. Almarzoqi,9780367591809,"Islamic Macroeconomics : A Model for Efficient Government, Stability and Full Employment","Raja M. Almarzoqi, Walid Mansour, Noureddine Krichene",New York :,"Routledge,",2018,1st ed.,"a| x, 207 p. ; |c 24 cm.",Islamic Business and finance series,Includes bibliographical references and index.,Economics -- Religious aspects -- Islam. Banks and banking -- Religious aspects -- Islam. Macroeconomics.,"Walid Mansour, Noureddine Krichene",,1,11/8/2021,Diploma Muamalat,Library Materials
48,LC1072.I58 S84 2019,"Sweitzer, H. F.",9781305966826,The Successful Internship,"H. Frederick Sweitzer, Mary A. King",Australia :,"Cengage Learning, Inc.,",2019,5th ed.,"a| xxv, 390 p. ; |c 23 cm.",,Includes bibliographical references and index.,"Interns (Education) -- United States -- Handbooks, manuals, etc. Internship programs -- United States. Experiential learning -- United States. Human services -- Study and teaching (Higher) -- United States.","King, M. A.",,1,11/8/2021,Diploma Muamalat,Library Materials
49,HF 5616 I74 B39 2018,Nabil Baydoun,9781119023296,Principles of Islamic Accounting,"Nabil, Baydoun, Maliah Sulaiman, Roger J. Willett, Shahul Hameed bin Mohamed Ibrahim",Singapore :,"John Wiley & Sons Singapore,",2018,,"a| xv, 288 p. ; |c 23 cm.",Wiley finance,Includes index.,Accounting -- Islamic countries -- Finance -- Religious aspects -- Islam -- Accounting (Islamic law).,"Maliah Sulaiman, Willett, R. J., Shahul Hameed Mohamed Ibrahim",,1,11/8/2021,Diploma Muamalat,Library Materials
50,BF441 .B9249 2019,"Burger, E. B.",9780691182780,Making up your own mind : Thinking effectively through creative puzzle-solving,Edward B. Burger,New Jersey :,"Princeton University Press,",2019,,"|a x, 123 p. :|b ill. ; |c 20 cm.",,Includes bibliographical references,,,,1,12/8/2021,Diploma Muamalat,Library Materials
51,HB172 Z83 2011,Zubair Hasan,9789834701895,Fundamentals of Microeconomics,"Zubair Hasan, Habibah Lehar",Kuala Lumpur :,"Oxford Fajar,",2011,1st ed.,"|a xxiv, 328 p. : |b ill. ; |c 26cm.",,Includes index.,Microeconomics --,Habibah Lehar,,1,12/8/2021,Urgent Books (Diploma Account),Library Materials
52,HD31 .N835P 2018,Norlida Kamaluddin,9789834726225,Principles of Management,"Norlida Kamaluddin, Za'faran Hassan, Rabiah Abdul Wahab, Rohaya Mohd Hussein",Shah Alam :,"Oxford Fajar Sdn. Bhd.,",2018,3rd ed.,"|a xi, 323 p. : |b ill. ; |c 23 cm.",,Includes index.,,"Za'faran Hassan, Rabiah Abdul Wahab, Rohaya Mohd Hussein",,1,12/8/2021,Urgent Books (Diploma Account),Library Materials
53,HF5387 K.53 2018,Khalidah Khalid Ali,9789834726218,Business Ethics,"Khalidah Khalid Ali, Zulkufly Ramly, Lau Teck Chai","Shah Alam, Selangor :","Oxford Fajar Sdn. Bhd.,",2018,2nd ed.,"a| xi, 466 p. : |b col. ill. ; |c 26 cm.",,Includes bibliographical references and index.,"Business ethics -- Probems, exercise, etc. Professional ethics -- Problems, exercises, etc.","Zulkufly Ramly, Lau, T. C.",,1,12/8/2021,Diploma Muamalat & Diploma Accounting,Library Materials
54,HD2741 .H139C 2019,Mohamad Hafiz Rosli,9789834728175,Corporate Governance : Principles and Practice in Malaysia,"Mohamad Hafiz Rosli, Aza Azlina Md Kassim, Fazilah Tamsir",Shah Alam :,"Oxford Fajar,",2019,,"|a ix, 195 p. : |b ill. ; |c 26 cm.",,,Corporate governance -- Malaysia. Corporate governance -- Law and legislation -- Malaysia.,"Aza Azlina Md Kassim, Fazilah Tamsir",,1,12/8/2021,Urgent Books (Diploma Corporate Admin),Library Materials
55,HF5691 .L366B 2019,"Lau, T. K.",9789834729585,Business Mathematics,"Lau Too Kya, Phang Yook Ngor, Wee Kok Kiang",Shah Alam :,"Oxford Fajar Sdn. Bhd.,",2019,4th ed.,"|a xi, 323 p. : |b ill. ; |c 23 cm.",,Includes questions and answers.,"Business mathematics -- Problems, exercises, etc --","Phang, Y. N., Wee, K. K.",,1,13/8/2021,Urgent Books (Diploma Corporate Admin),Library Materials
56,JQ1062. A58P83 2013,,9781138948303,Public Management and Governance in Malaysia : Trends and Transformations,Noore Alam Siddiquee (editor),"New York, NY :","Routledge,",2013,1st ed.,"|a xix, 266 p. : |b ill. ; |c 24 cm.",,Includes bibliographical references and index.,Public administration -- Malaysia Malaysia -- Politics and government,Noore Alam Siddiquee,,1,13/8/2021,Urgent Books (Diploma Corporate Admin),Library Materials
57,BP 130 M64 2021,"Ab. Latif Muda, Dr.",9789679755978,Ulum Al-Quran,Dr. Ab. Latif Muda & Rosmawati Ali @ Mat Zin,Kuala Lumpur :,"Percetakan Salam Sdn. Bhd.,",2021,,|a 308 p. ; |c 23 cm.,,Mengandungi rujukan.,,Rosmawati Ali @ Mat Zin,,1,13/8/2021,Kursus Wajib Uni,Library Materials
58,BP 135 A25 2021,"Ab. Latif Muda, Dr.",9789679755862,Ulum Al-Hadith,Dr. Ab. Latif Muda & Rosmawati Ali @ Mat Zin,Kuala Lumpur :,"Percetakan Salam Sdn. Bhd.,",2021,,|a 308 p. ; |c 23 cm.,,Mengandungi rujukan.,,Rosmawati Ali @ Mat Zin,,1,13/8/2021,Kursus Wajib Uni,Library Materials
59,KPG 856 .K75 2015,Loganathan Krishnan,9789670853031,"Principles of Business and Corporate Law, Malaysia","Loganathan Krishnan, Parimaladevi Rajoo, Anne Chrishanthani Vergis","Kuala Lumpur, Malaysia :","Wolters Kluwers,",2015,2nd ed.,"|a xxxvii, 537 p. ; |c 26 cm.",,"""Cases table"": pages 487-504. Includes bibliographical references and index.",Commercial law -- Malaysia -- Business enterprises -- Law and legislation -- Malaysia -- Malaysia.,"Parimaladevi Rajoo, Anne Chrishanthani Vergis",,1,13/8/2021,Sumbangan,Library Materials
60,QU 146. JM2 N976 2016,,9789670769509,Nutrition Research In Malaysia : Selected Bibliography of Published Journal Articles from 2011-2014,Malaysia. Kementerian Kesihatan. National Coordinating Committee on Food and Nutrition,Putrajaya :,"Technical Working Group on Nutrition Research for National Coordinating Committee on Food and Nutrition,",2016,1st ed.,"|a xiv, 420 p. ; | c 26 cm.",Volume II,Includes index.,"Nutrition -- Research -- Malaysia -- Bibliography.
Food -- Research -- Malaysia -- Bibliography.
Food -- Research.
Nutrition -- Research.
Malaysia.",Malaysia. Kementerian Kesihatan. National Coordinating Committee on Food and Nutrition.,,1,30/9/2021,Sumbangan,Library Materials
61,RM666 .H33 H373 2006,Harun Mat Piah,9789679311617,Kitab Tib : Ilmu Perubatan Melayu,Harun Mat Piah,Kuala Lumpur :,"Perpustakaan Negara Malaysia,",2006,,|a 436 p. : |b ill. (some col.) ; |c 26 cm.,,Includes bibliographical references (p. 394-397) and index.,"Malays (Asian people) -- Medicine -- Formulae, receipts, prescriptions
Traditional medicine -- Malaysia -- Formulae, receipts, prescriptions
Herbs -- Therapeutic use -- Malaysia",,,1,30/9/2021,Sumbangan,Library Materials
62,,Rukayah Aman,9789836292391,Tanaman Berkhasiat Ubatan,Rukayah Aman,Kuala Lumpur :,"Dewan Bahasa dan Pustaka,",2016,,"|a xiii, 157 p. : |b ill. (col.) ; |c 25 cm.",,Includes bibliographical references and index.,"Medicinal plants --
Botany, Medical --
Government publications -- Malaysia --",,,1,30/9/2021,Sumbangan,Library Materials
63,KN390 .K1 A523 2009,"Anderson, J.",9780409323436,The New Law of Evidence : Annotation and Commentary on the Uniform Evidence Acts,"Jill Anderson, Neil Williams and Louise Clegg","Chatswood, N.S.W. :","LexisNexis Butterworths,",2009,2nd ed.,"|a lxx, 957 p. ; |c 24 cm.",,Includes bibliographical references and index.,Evidence (law) -- Australia.,"Williams, N., Clegg, L.",,1,30/9/2021,Sumbangan,Library Materials
64,BP153 K45F7 2011 v1,"al-Khin, Mustafa",978-983-042-486-6,Al-Fiqh al-manhaji mazhab al-Syafie,"Mustofa al-Khin, Mustofa al-Bugho & Ali asy-Syarbaji ; penterjemah, Zulkiflie bin Mohamad al-Bakri & rakan-rakan",Putrajayaÿ,ÿJabatan Kemajuan Islam Malaysia (JAKIM),2011,,5 v. ; 26 cm,,Includes bibliographical references and index.,Islamic law -- Introductionsÿ|ÿShafi'iyah,,,3,10/17/2022,pembelian,Library Materials
65,BP153 K45F7 2011 v2,"al-Khin, Mustafa",978-983-042-487-3,Al-Fiqh al-manhaji mazhab al-Syafie,"Mustofa al-Khin, Mustofa al-Bugho & Ali asy-Syarbaji ; penterjemah, Zulkiflie bin Mohamad al-Bakri & rakan-rakan",Putrajayaÿ,ÿJabatan Kemajuan Islam Malaysia (JAKIM),2011,,5 v. ; 26 cm,,Includes bibliographical references and index.,Islamic law -- Introductionsÿ|ÿShafi'iyah,,,3,10/17/2022,pembelian,Library Materials
66,BP153 K45F7 2011 v3,"al-Khin, Mustafa",9789830424880,Al-Fiqh al-manhaji mazhab al-Syafie,"Mustofa al-Khin, Mustofa al-Bugho & Ali asy-Syarbaji ; penterjemah, Zulkiflie bin Mohamad al-Bakri & rakan-rakan",Putrajayaÿ,ÿJabatan Kemajuan Islam Malaysia (JAKIM),2011,,5 v. ; 26 cm,,Includes bibliographical references and index.,Islamic law -- Introductionsÿ|ÿShafi'iyah,,,3,10/17/2022,pembelian,Library Materials
67,BP153 K45F7 2011 v4,"al-Khin, Mustafa",ÿ9789830424897,Al-Fiqh al-manhaji mazhab al-Syafie,"Mustofa al-Khin, Mustofa al-Bugho & Ali asy-Syarbaji ; penterjemah, Zulkiflie bin Mohamad al-Bakri & rakan-rakan",Putrajayaÿ,ÿJabatan Kemajuan Islam Malaysia (JAKIM),2011,,5 v. ; 26 cm,,Includes bibliographical references and index.,Islamic law -- Introductionsÿ|ÿShafi'iyah,,,3,10/17/2022,pembelian,Library Materials
68,BP153 K45F7 2011 v5,"al-Khin, Mustafa",9789830424903,Al-Fiqh al-manhaji mazhab al-Syafie,"Mustofa al-Khin, Mustofa al-Bugho & Ali asy-Syarbaji ; penterjemah, Zulkiflie bin Mohamad al-Bakri & rakan-rakan",Putrajayaÿ,ÿJabatan Kemajuan Islam Malaysia (JAKIM),2011,,5 v. ; 26 cm,,Includes bibliographical references and index.,Islamic law -- Introductionsÿ|ÿShafi'iyah,,,3,10/17/2022,pembelian,Library Materials
